,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,name,phone,website,id,timestamp,version,tags,osm_type,geometry,changeset
0,Lomazzo,IT,2,22074,Via della Fametta,Meclopress s.r.l.,,,94513238,1404334143,4,"{""building"":""industrial"",""industrial"":""factory""}",way,"POLYGON ((9.029207 45.7093355, 9.0288786 45.7087609, 9.0293679 45.7086245, 9.0296964 45.7091992, 9.029207 45.7093355))",
1,,,,,,Meclostampi s.r.l.,,,94513304,1401190117,3,"{""building"":""industrial"",""industrial"":""factory""}",way,"POLYGON ((9.0282872 45.7089303, 9.0286567 45.7088132, 9.0290489 45.709417, 9.0290826 45.7094063, 9.029175 45.7095486, 9.0290801 45.7095786, 9.0290518 45.7095351, 9.0288813 45.7095869, 9.0287481 45.7096387, 9.0282872 45.7089303))",
2,,,,,,,,,279920248,1399905495,4,"{""factory"":""shoes"",""industrial"":""factory"",""landuse"":""industrial""}",way,"POLYGON ((9.0185709 45.6999144, 9.0187355 45.7005435, 9.0187883 45.7007527, 9.0188321 45.7009224, 9.0190669 45.7008929, 9.0194973 45.7008387, 9.0199849 45.7007774, 9.0198774 45.7003606, 9.0191927 45.7004468, 9.0190406 45.6998572, 9.0188999 45.6998799, 9.0187261 45.6998964, 9.0185822 45.6999101, 9.0185709 45.6999144))",
3,,,,,,,,,279920250,1399420039,1,"{""building"":""industrial"",""factory"":""shoes"",""industrial"":""factory""}",way,"POLYGON ((9.0188397 45.7007461, 9.0189023 45.7007381, 9.018918 45.7007976, 9.0190378 45.7007823, 9.0190669 45.7008929, 9.0188321 45.7009224, 9.0187883 45.7007527, 9.0188397 45.7007461))",
4,Lomazzo,IT,54,22074,Via del Seprio,Calzaturificio Brunate,+39 02 96779393,https://www.calzaturificiobrunate.it/,279920251,1553431032,5,"{""addr:inclusion"":""actual"",""addr:interpolation"":""even"",""building"":""industrial"",""factory"":""shoes"",""industrial"":""factory""}",way,"POLYGON ((9.0186386 45.700199, 9.0185822 45.6999101, 9.0187261 45.6998964, 9.0188999 45.6998799, 9.0189083 45.6999228, 9.0189422 45.6999196, 9.0189666 45.7000446, 9.0187215 45.700068, 9.0187451 45.7001889, 9.0186386 45.700199))",
5,,,,,,,+39-031-3507211,http://ambrosoli.it,374718097,1515156631,3,"{""industrial"":""factory"",""landuse"":""industrial"",""man_made"":""works"",""product"":""candy;wax;honey""}",way,"POLYGON ((8.9873655 45.8320465, 8.9869925 45.8318703, 8.9860033 45.8321354, 8.9852233 45.8314488, 8.9853945 45.8308443, 8.9855124 45.8307621, 8.9857027 45.8307091, 8.9860527 45.8307701, 8.9862696 45.830892, 8.9863385 45.8309644, 8.9864865 45.83112, 8.9869219 45.831197, 8.9869704 45.8312912, 8.9870261 45.8313024, 8.9876397 45.8314263, 8.9876106 45.8318403, 8.9876028 45.831857, 8.9875456 45.8319481, 8.9873655 45.8320465))",
6,,,,,,,,,545357836,1512689062,1,"{""industrial"":""factory"",""landuse"":""industrial""}",way,"POLYGON ((9.0448165 45.7467581, 9.0449452 45.7467226, 9.0451142 45.746803, 9.0451491 45.7468442, 9.0453529 45.7468948, 9.0455836 45.7472785, 9.0435156 45.7478044, 9.0432528 45.7476341, 9.0430489 45.7475237, 9.042998 45.7474507, 9.043006 45.7473889, 9.0430677 45.7472916, 9.0431562 45.7472073, 9.0434164 45.747125, 9.043647 45.7470857, 9.0438563 45.7470763, 9.0442479 45.7470033, 9.0444946 45.7469266, 9.0448165 45.7467581))",
7,,,,,,,,,545357837,1512689063,1,"{""industrial"":""factory"",""landuse"":""industrial""}",way,"POLYGON ((9.0458572 45.747271, 9.0461281 45.7477483, 9.0463293 45.7475929, 9.0465546 45.7475293, 9.0466163 45.7476341, 9.0467933 45.7475892, 9.0468737 45.7476697, 9.0473673 45.7473646, 9.0471446 45.7471905, 9.0468952 45.7473346, 9.0467155 45.7470295, 9.0458572 45.747271))",
8,,,,,,Dow,,,618555163,1534861966,1,"{""industrial"":""factory"",""landuse"":""industrial""}",way,"POLYGON ((8.9523005 45.6799966, 8.953359 45.6803543, 8.9530071 45.6807141, 8.9536795 45.6810118, 8.9526092 45.6819636, 8.9520506 45.6823819, 8.9519059 45.6824072, 8.9517894 45.6824016, 8.9516447 45.6823454, 8.9515442 45.6822696, 8.9512388 45.6820787, 8.9513312 45.6819551, 8.9512026 45.6818849, 8.9511062 45.6819692, 8.9507807 45.6817193, 8.95021 45.6812729, 8.9523005 45.6799966))",
9,,,,,,,,,780630221,1584130959,4,"{""industrial"":""factory"",""landuse"":""industrial""}",way,"POLYGON ((9.407865 46.1449747, 9.4084011 46.1450515, 9.4085244 46.1446033, 9.4088263 46.1446545, 9.4086045 46.1450772, 9.4092379 46.1451838, 9.4096746 46.1443231, 9.411134 46.144493, 9.4113077 46.1445223, 9.4113077 46.1446228, 9.4116758 46.1446915, 9.4115909 46.1444413, 9.4114458 46.1443187, 9.4112228 46.1441594, 9.4109361 46.1440343, 9.4107202 46.1439828, 9.4104265 46.1439436, 9.4082322 46.1438161, 9.407865 46.1449747))",
10,,,,,,Rusconi Serramenti,,,878732103,1606599724,1,"{""industrial"":""factory"",""landuse"":""industrial""}",way,"POLYGON ((9.2150456 45.8002882, 9.2154238 45.8001442, 9.215118 45.799803, 9.2148471 45.7998469, 9.2147814 45.799874, 9.2150509 45.8001751, 9.2149758 45.8002069, 9.2150456 45.8002882))",
11,,,,,,Stabilimento Cosmint Spa - Ex Avon,,,883898660,1607711867,1,"{""industrial"":""factory"",""landuse"":""industrial""}",way,"POLYGON ((8.98361 45.7750532, 8.9824876 45.7752046, 8.981275 45.7755981, 8.9823652 45.7786202, 8.9848177 45.7782263, 8.9851548 45.7777104, 8.98361 45.7750532))",
12,,,,,,Demolli gruppo Sonoco,,,16849078448,1508615538,1,"{""industrial"":""factory"",""landuse"":""industrial"",""man_made"":""works"",""type"":""multipolygon""}",relation,"MULTIPOLYGON (((9.142252 45.7937313, 9.1451392 45.7929105, 9.1445949 45.7928853, 9.1440467 45.7929138, 9.1437641 45.793014, 9.1437523 45.7931738, 9.1437982 45.7932199, 9.1436532 45.7932163, 9.1433573 45.793206, 9.1429718 45.7932255, 9.1427655 45.7932206, 9.1425523 45.7931905, 9.142252 45.7937313)), ((9.1451392 45.7929105, 9.1444494 45.7945655, 9.1445652 45.7946202, 9.1462254 45.7945173, 9.1462871 45.7945042, 9.1463354 45.7944743, 9.1463917 45.7944369, 9.1464347 45.7943883, 9.14644 45.7942985, 9.1462818 45.7939563, 9.1459733 45.7933447, 9.1459036 45.7932531, 9.1455737 45.793023, 9.1453752 45.7929595, 9.1451392 45.7929105)), ((9.1444494 45.7945655, 9.1440029 45.794302, 9.14318554196583 45.79408570097747, 9.1444494 45.7945655)))",0.0
